"date","mjd","trans"
2016-10-11,57672,NA
2016-10-12,57673,NA
2016-10-13,57674,NA
2016-10-14,57675,0.708116120899021
2016-10-15,57676,NA
2016-10-16,57677,NA
2016-10-17,57678,NA
2016-10-18,57679,NA
2016-10-19,57680,0.663720088842284
2016-10-20,57681,NA
2016-10-21,57682,0.686491123139409
2016-10-22,57683,NA
2016-10-23,57684,NA
2016-10-24,57685,NA
2016-10-25,57686,NA
2016-10-26,57687,NA
2016-10-27,57688,NA
2016-10-28,57689,NA
2016-10-29,57690,0.690256071693587
2016-10-30,57691,0.701526924407649
2016-10-31,57692,0.691240026528137
2016-11-01,57693,NA
2016-11-02,57694,NA
2016-11-03,57695,NA
2016-11-04,57696,NA
2016-11-05,57697,NA
2016-11-06,57698,NA
2016-11-07,57699,NA
2016-11-08,57700,NA
2016-11-09,57701,NA
2016-11-10,57702,0.695851463247715
2016-11-11,57703,0.69907123775393
2016-11-12,57704,NA
2016-11-13,57705,NA
2016-11-14,57706,NA
2016-11-15,57707,NA
2016-11-16,57708,NA
2016-11-17,57709,0.681665761390825
2016-11-18,57710,0.674437037518396
2016-11-19,57711,NA
2016-11-20,57712,0.635698768455932
2016-11-21,57713,NA
2016-11-22,57714,NA
2016-11-23,57715,NA
2016-11-24,57716,NA
2016-11-25,57717,NA
2016-11-26,57718,NA
2016-11-27,57719,NA
2016-11-28,57720,NA
2016-11-29,57721,NA
2016-11-30,57722,NA
2016-12-01,57723,NA
2016-12-02,57724,NA
2016-12-03,57725,NA
2016-12-04,57726,NA
2016-12-05,57727,0.652554728490667
2016-12-06,57728,0.664003772969106
2016-12-07,57729,NA
2016-12-08,57730,NA
2016-12-09,57731,NA
2016-12-10,57732,NA
2016-12-11,57733,NA
2016-12-12,57734,NA
2016-12-13,57735,NA
2016-12-14,57736,0.66649319153445
2016-12-15,57737,NA
2016-12-16,57738,NA
2016-12-17,57739,0.61536069009236
2016-12-18,57740,NA
2016-12-19,57741,NA
2016-12-20,57742,NA
2016-12-21,57743,NA
2016-12-22,57744,NA
2016-12-23,57745,NA
2016-12-24,57746,NA
2016-12-25,57747,NA
2016-12-26,57748,NA
2016-12-27,57749,NA
2016-12-28,57750,0.581126726587475
2016-12-29,57751,NA
2016-12-30,57752,NA
2016-12-31,57753,NA
2017-01-01,57754,0.623100475725934
2017-01-02,57755,0.616795453176846
2017-01-03,57756,NA
2017-01-04,57757,NA
2017-01-05,57758,NA
2017-01-06,57759,NA
2017-01-07,57760,NA
2017-01-08,57761,NA
2017-01-09,57762,NA
2017-01-10,57763,0.604125009369171
2017-01-11,57764,NA
2017-01-12,57765,NA
2017-01-13,57766,NA
2017-01-14,57767,NA
2017-01-15,57768,NA
2017-01-16,57769,NA
2017-01-17,57770,0.636309165938138
2017-01-18,57771,NA
2017-01-19,57772,0.630597615690245
2017-01-20,57773,0.636392863713122
2017-01-21,57774,NA
2017-01-22,57775,NA
2017-01-23,57776,NA
2017-01-24,57777,0.640314910608319
2017-01-25,57778,NA
2017-01-26,57779,NA
2017-01-27,57780,NA
2017-01-28,57781,0.629095252465983
2017-01-29,57782,0.630398354642822
2017-01-30,57783,0.620710631247328
2017-01-31,57784,0.626289782593611
2017-02-01,57785,NA
2017-02-02,57786,NA
2017-02-03,57787,0.615851863350651
2017-02-04,57788,0.630931833422333
2017-02-05,57789,0.635161405475093
2017-02-06,57790,NA
2017-02-07,57791,NA
